block_time,direction,shares
2026-02-28 00:00:00.000 UTC,NO,283938.366926
2026-02-28 00:00:00.000 UTC,YES,220164.457078
2026-02-28 01:00:00.000 UTC,NO,161441.78454
2026-02-28 01:00:00.000 UTC,YES,94049.538353
2026-02-28 02:00:00.000 UTC,NO,246377.625366
2026-02-28 02:00:00.000 UTC,YES,44544.787017
2026-02-28 03:00:00.000 UTC,NO,886880.9348619999
2026-02-28 03:00:00.000 UTC,YES,263835.740446
2026-02-28 04:00:00.000 UTC,NO,108214.553198
2026-02-28 04:00:00.000 UTC,YES,237532.74442099998
2026-02-28 05:00:00.000 UTC,NO,801279.065438
2026-02-28 05:00:00.000 UTC,YES,1082978.110686
2026-02-28 06:00:00.000 UTC,NO,3352671.901391
2026-02-28 06:00:00.000 UTC,YES,5601694.47295
2026-02-28 07:00:00.000 UTC,NO,4643155.026199
2026-02-28 07:00:00.000 UTC,YES,4737608.652047
2026-02-28 08:00:00.000 UTC,NO,2958158.43
2026-02-28 08:00:00.000 UTC,YES,1276878.589014
2026-02-28 09:00:00.000 UTC,NO,664417.29
