block_time,direction,shares
2026-03-31 00:00:00.000 UTC,NO,10378.11151
2026-03-31 00:00:00.000 UTC,YES,22385.287463
2026-03-31 01:00:00.000 UTC,NO,7855.537569
2026-03-31 01:00:00.000 UTC,YES,8422.329389
2026-03-31 02:00:00.000 UTC,NO,1249.554087
2026-03-31 02:00:00.000 UTC,YES,2345.5565070000002
2026-03-31 03:00:00.000 UTC,NO,3805.411323
2026-03-31 03:00:00.000 UTC,YES,3214.802296
2026-03-31 04:00:00.000 UTC,NO,2931.088745
2026-03-31 04:00:00.000 UTC,YES,4160.206183
2026-03-31 05:00:00.000 UTC,NO,4532.542335
2026-03-31 05:00:00.000 UTC,YES,50150.270623000004
2026-03-31 06:00:00.000 UTC,NO,96155.588933
2026-03-31 06:00:00.000 UTC,YES,301506.038293
2026-03-31 07:00:00.000 UTC,NO,461085.560656
2026-03-31 07:00:00.000 UTC,YES,487948.115422
2026-03-31 08:00:00.000 UTC,NO,151309.92
2026-03-31 08:00:00.000 UTC,YES,56180.272419
2026-03-31 09:00:00.000 UTC,NO,34797.21
