block_time,direction,shares
2026-02-28 00:00:00.000 UTC,NO,4095.026171
2026-02-28 00:00:00.000 UTC,YES,13933.294304
2026-02-28 01:00:00.000 UTC,NO,2506.376023
2026-02-28 01:00:00.000 UTC,YES,3055.4808279999997
2026-02-28 02:00:00.000 UTC,NO,5080.310987
2026-02-28 02:00:00.000 UTC,YES,7495.838386
2026-02-28 03:00:00.000 UTC,NO,19103.6511
2026-02-28 03:00:00.000 UTC,YES,28325.624967
2026-02-28 04:00:00.000 UTC,NO,28522.062371
2026-02-28 04:00:00.000 UTC,YES,7846.854645
2026-02-28 05:00:00.000 UTC,NO,14385.308108
2026-02-28 05:00:00.000 UTC,YES,56137.108639
2026-02-28 06:00:00.000 UTC,NO,69261.599625
2026-02-28 06:00:00.000 UTC,YES,96591.459222
2026-02-28 07:00:00.000 UTC,NO,102249.32606200001
2026-02-28 07:00:00.000 UTC,YES,247681.477957
2026-02-28 08:00:00.000 UTC,NO,102403.434992
2026-02-28 08:00:00.000 UTC,YES,24182.623904
2026-02-28 09:00:00.000 UTC,NO,147674.356665
2026-02-28 09:00:00.000 UTC,YES,77881.211862
2026-02-28 10:00:00.000 UTC,NO,114314.693853
2026-02-28 10:00:00.000 UTC,YES,18479.225211
2026-02-28 11:00:00.000 UTC,NO,43064.100151
2026-02-28 11:00:00.000 UTC,YES,5074.62783
2026-02-28 12:00:00.000 UTC,NO,11024.275712
2026-02-28 12:00:00.000 UTC,YES,16536.595
2026-02-28 13:00:00.000 UTC,NO,37917.17597
2026-02-28 13:00:00.000 UTC,YES,21198.9012
2026-02-28 14:00:00.000 UTC,NO,24175.464995
2026-02-28 14:00:00.000 UTC,YES,20166.350315
2026-02-28 15:00:00.000 UTC,NO,21843.889995
2026-02-28 15:00:00.000 UTC,YES,1568.802737
2026-02-28 16:00:00.000 UTC,NO,33745.990932
2026-02-28 16:00:00.000 UTC,YES,2426.11535
2026-02-28 17:00:00.000 UTC,NO,19577.041419
2026-02-28 17:00:00.000 UTC,YES,6654.79633
2026-02-28 18:00:00.000 UTC,NO,35062.999284
2026-02-28 18:00:00.000 UTC,YES,539.45375
2026-02-28 19:00:00.000 UTC,NO,13435.755000000001
2026-02-28 19:00:00.000 UTC,YES,1906.01525
2026-02-28 20:00:00.000 UTC,NO,39991.78125
2026-02-28 20:00:00.000 UTC,YES,389.849318
2026-02-28 21:00:00.000 UTC,NO,28729.075551
2026-02-28 21:00:00.000 UTC,YES,5192.764769999999
2026-02-28 22:00:00.000 UTC,NO,26233.738149
2026-02-28 22:00:00.000 UTC,YES,1375.494123
2026-02-28 23:00:00.000 UTC,NO,5893.569745
2026-02-28 23:00:00.000 UTC,YES,1215.647281
