Unnamed: 0,wallet,tx_hash,token_outcome,amount,shares,block_time,price,maker_side,question,timing,wallet_action,hour
1,0x0028d32c093a25d2f96a1b85208fb5cb91e34fa5,0xa4a98dc80afc9c600811f6979e3c275ab74287b7f91320ac099ce01489092c67,Yes,50.169998,50.554304,2026-02-28 07:24:47+00:00,0.9923981546655256,BUY,"Will the US next strike Iran on February 28, 2026 (ET)?","[Timestamp('2026-02-28 07:24:47+0000', tz='UTC')]",BUY Yes,7
9,0x0044c20cde2f37e271d7e0816c21913053e8cb2c,0x48f919016894cfd015998b1fa2073ba32f80a7538a2d4c3fdd974354b0cb16c9,Yes,0.6188,4.76,2026-02-28 03:58:39+00:00,0.13,SELL,"Will the US next strike Iran on February 28, 2026 (ET)?","[Timestamp('2026-02-28 03:58:39+0000', tz='UTC')]",SELL Yes,3
12,0x0044c20cde2f37e271d7e0816c21913053e8cb2c,0x623e1d818534bfb6fc3ffc501a6611a1f05b47697382db02146d89de22f91e63,Yes,0.18912,0.96,2026-02-28 05:50:17+00:00,0.197,SELL,"Will the US next strike Iran on February 28, 2026 (ET)?","[Timestamp('2026-02-28 05:50:17+0000', tz='UTC')]",SELL Yes,5
23,0x0044c20cde2f37e271d7e0816c21913053e8cb2c,0xaace957df00d6ded717da367775fa8b9ce9c1b5b4558e3c08e6dbce6e2ec8728,No,0.33012,2.52,2026-02-28 06:42:11+00:00,0.131,SELL,"Will the US next strike Iran on February 28, 2026 (ET)?","[Timestamp('2026-02-28 06:42:11+0000', tz='UTC')]",SELL No,6
24,0x0044c20cde2f37e271d7e0816c21913053e8cb2c,0xaf61f2468310a7c5d55b4dc1b08dd2afc0f0099d38c5faa45c28011856f8335e,No,0.4113,4.57,2026-02-28 07:10:53+00:00,0.09,SELL,"Will the US next strike Iran on February 28, 2026 (ET)?","[Timestamp('2026-02-28 07:10:53+0000', tz='UTC')]",SELL No,7
39,0x00bb14ae5b5ff137204f35773becb5aa5f926138,0x5a067b21d8c66d13fd9455afac6485c7b5c3bc290e66614158de4f3b1cb0b508,Yes,124.999999,125.2505,2026-02-28 08:50:15+00:00,0.998,BUY,"Will the US next strike Iran on February 28, 2026 (ET)?","[Timestamp('2026-02-28 08:50:15+0000', tz='UTC')]",BUY Yes,8
58,0x0181093eff36cf2a5fb405714206496644b77d03,0xcadae911e8d80d602046ef011077a26f1f9ef0c29d4da168c80c6d574b6e2e6e,Yes,0.999984,1.004,2026-02-28 15:25:11+00:00,0.996,BUY,"Will the US next strike Iran on February 28, 2026 (ET)?","[Timestamp('2026-02-28 15:25:11+0000', tz='UTC')]",BUY Yes,15
61,0x018c5861d17970fe821eb1697e9445330d4c0216,0x9dc19584987d5932bf27bdd673d83f1978358f6fa85832c7ee0a21722164addc,Yes,9.94,10.0,2026-02-28 13:12:05+00:00,0.994,BUY,"Will the US next strike Iran on February 28, 2026 (ET)?","[Timestamp('2026-02-28 13:12:05+0000', tz='UTC')]",BUY Yes,13
64,0x0191f93dde60301760b59eeb6a912785830bebdb,0x2c03669be8eaed582067030759809402488bf220682dc9195cbc2296cc5c8c32,Yes,1061.57841,1090.85,2026-02-28 07:26:07+00:00,0.9731662556721824,SELL,"Will the US next strike Iran on February 28, 2026 (ET)?","[Timestamp('2026-02-28 07:26:07+0000', tz='UTC')]",SELL Yes,7
72,0x01bdccafe21f7305461a5b345179007661198357,0x4c7528211397664afea4e22d22c5410b3090e7f31edbbf947a5d4fd7cb9848c7,Yes,75.1907,101.6,2026-02-28 06:37:53+00:00,0.7400659448818899,SELL,"Will the US next strike Iran on February 28, 2026 (ET)?","[Timestamp('2026-02-28 06:37:53+0000', tz='UTC')]",SELL Yes,6
