wallet,name,pnl,usdc_amount,link
0x45647817f1e2f706748da27ed717ecae9b674a11,anon,"$90,771.87 (484.36%)",18440.72,https://www.polymarket.com/0x45647817f1e2f706748da27ed717ecae9b674a11
0x56efadc9defe5b7a21af751e0d026f2cf54136db,Neodbs,"$88,953.75 (900%)",9883.75,https://www.polymarket.com/0x56efadc9defe5b7a21af751e0d026f2cf54136db
0x0e00ce71d933fd3ad48928911ef95c7327c8d1ff,luckyAugust1975,"$75,670.97 (344.42%)",3372.1989,https://www.polymarket.com/0x0e00ce71d933fd3ad48928911ef95c7327c8d1ff
0x33acd201d6b02982b3a95b975b331bc225649334,goooofy,"$160,002.56 (500.05%)",9400.6826,https://www.polymarket.com/0x33acd201d6b02982b3a95b975b331bc225649334
0x3811e09bb2fa30aff16d9be28c09ee9bba478f61,anon,"$45,555.61 (455.56%)",9999.999999,https://www.polymarket.com/0x3811e09bb2fa30aff16d9be28c09ee9bba478f61
0x5ff872bf119684f4f5fb1ad46d55d8f4c62d54ad,anon,"$45,405.94 (488.24%)",9299.999999,https://www.polymarket.com/0x5ff872bf119684f4f5fb1ad46d55d8f4c62d54ad
0xcb54f63ce9692b85670a635a80464082a7165202,Bricker37483748,"$36,064.87 (426.32%)",8459.649999,https://www.polymarket.com/0xcb54f63ce9692b85670a635a80464082a7165202
0xe8cc51f3a10fbb3f88f27863575dc3cf42443e43,doitnowdo,"$9,897.11 (86.71%)",8105.589,https://www.polymarket.com/0xe8cc51f3a10fbb3f88f27863575dc3cf42443e43
0xbfbebe724dcf6acade8696f9a3d41baa2be3c93c,Megawow,"$42,271.97 (349.95%)",8867.999999,https://www.polymarket.com/0xbfbebe724dcf6acade8696f9a3d41baa2be3c93c
0xe756468f0869e27d6c1c51a10993fd7ce4627866,rrrrgggbbbclat,"$39,983.97 (400%)",9602.642,https://www.polymarket.com/0xe756468f0869e27d6c1c51a10993fd7ce4627866
0xc8a6d6b4f5d66a1211ed678edb828acca25c5d97,ALLOVERTHEPLACE,"$39,710.93 (554.52%)",4814.859,https://www.polymarket.com/0xc8a6d6b4f5d66a1211ed678edb828acca25c5d97
0xab05ffa436861ebb59e16f407703e009fe78e30f,bravonoll,"$36,064.87 (426.32%)",8000.279998,https://www.polymarket.com/0xab05ffa436861ebb59e16f407703e009fe78e30f
0x607fec58640fcea5cb837adb09d658747720592c,whopperlover,"$302,524.51 (578.16%)",7394.3158,https://www.polymarket.com/0x607fec58640fcea5cb837adb09d658747720592c
0xdcce3bfa065cf5ca9a0acfe83d6ecd8279d10a15,gagadolls,"$35,415.99 (294.35%)",3199.04,https://www.polymarket.com/0xdcce3bfa065cf5ca9a0acfe83d6ecd8279d10a15
0x18bbf3c90b986ed25739d1e28a98bb03fc88d280,Littlefish1,"$34,166.71 (455.56%)",7499.999999,https://www.polymarket.com/0x18bbf3c90b986ed25739d1e28a98bb03fc88d280
0x0c8bc7db08d5fa2ceedb919c6a2d6ab60b7823de,flowjj,"$187,687.27 (390.94%)",6576.4575,https://www.polymarket.com/0x0c8bc7db08d5fa2ceedb919c6a2d6ab60b7823de
0x82ed2416f0a49cc02fb529b00c03582598d17cc3,tangerine66,"$32,736.69 (269.34%)",2564.12,https://www.polymarket.com/0x82ed2416f0a49cc02fb529b00c03582598d17cc3
0xa4eb52229991c074bc560f825bf2776d77acd010,djijaij83jdo4jdlwjflsg,"$32,399.99 (426.32%)",2529.9355,https://www.polymarket.com/0xa4eb52229991c074bc560f825bf2776d77acd010
0x0a142164f48dab6448872f0abac310d03e305316,aaamsaasa,"$30,157.58 (503.04%)",3959.84,https://www.polymarket.com/0x0a142164f48dab6448872f0abac310d03e305316
0x2b76c1d12cd928b1d95a6d2c7f1e6f6e7f14edef,idfinsider0228,,6000,https://www.polymarket.com/0x2b76c1d12cd928b1d95a6d2c7f1e6f6e7f14edef
0xd36fa21eb3fa7b1aaf97c8499253f76f82a16d48,SemiconductorIT,"$29,410.12 (385.78%)",2547.5538,https://www.polymarket.com/0xd36fa21eb3fa7b1aaf97c8499253f76f82a16d48
0xa06aa60f30abfbee09c8b5b32d4da64e1f5ee5a9,Getthegoop,"$86,575.35 (225.54%)",5863.3276,https://www.polymarket.com/0xa06aa60f30abfbee09c8b5b32d4da64e1f5ee5a9
0xbf32f7a77ccea8bba647fea63d438ce1778b1762,154x838hjd6,"$29,347.44 (311.84%)",9411.129998,https://www.polymarket.com/0xbf32f7a77ccea8bba647fea63d438ce1778b1762
0x9273d264bac84df53af2fbdb65aaca70fd8dee15,anon,"$12,539.30 (225.67%)",5556.509999,https://www.polymarket.com/0x9273d264bac84df53af2fbdb65aaca70fd8dee15
0x1caa6a7ad0c6916aef7b67946de2e57ad24846a0,anon,"$499,863.81 (821.92%)",52027.6798,https://www.polymarket.com/0x1caa6a7ad0c6916aef7b67946de2e57ad24846a0
0x1e0a4f0786c802489d354df0de309d2d3eeaadc5,anon,"$10,733.16 (206.41%)",5200,https://www.polymarket.com/0x1e0a4f0786c802489d354df0de309d2d3eeaadc5
0x37d10ffb61998561c5f9fb941c42c952d8fb4e28,flydartball,"$301,125.56 (508.38%)",5048.4302,https://www.polymarket.com/0x37d10ffb61998561c5f9fb941c42c952d8fb4e28
0x9c6bd2c9c97679852baa0747953275e3be8df35e,jamesjohnson176,"$29,337.38 (345.15%)",8499.999999,https://www.polymarket.com/0x9c6bd2c9c97679852baa0747953275e3be8df35e
0x0700cb9b2504c30c55273c323f67faaa23a3267b,anon,"$28,354.42 (168.73%)",6679.905,https://www.polymarket.com/0x0700cb9b2504c30c55273c323f67faaa23a3267b
0x36d7e00d8ffb57388b56f4f1e850ce67d9989b78,bowlingforsoup,"$22,269.09 (289.5%)",4999.999999,https://www.polymarket.com/0x36d7e00d8ffb57388b56f4f1e850ce67d9989b78
0xec753c8b707c4dbc22d49a1e2bb4d1bec63ff4e0,Polybetme,"$14,833.88 (302.11%)",4910.12,https://www.polymarket.com/0xec753c8b707c4dbc22d49a1e2bb4d1bec63ff4e0
0x962284d3ae323d0313895d97f22755b3b1ff538e,anon,"$28,333.37 (566.67%)",4999.999999,https://www.polymarket.com/0x962284d3ae323d0313895d97f22755b3b1ff538e
0xde7be6d489bce070a959e0cb813128ae659b5f4b,wan123,"$201,191.91 (271.56%)",41812.8696,https://www.polymarket.com/0xde7be6d489bce070a959e0cb813128ae659b5f4b
0xca886a7ed635c3b770fccfd251c86eec34967caa,Mdb2303,"$28,147.75 (442.33%)",5999.999999,https://www.polymarket.com/0xca886a7ed635c3b770fccfd251c86eec34967caa
0xd043d8bdca05c5f9ecdf75df3c6681ac74ca7e85,KURAKAO,"$93,999.56 (1,566.67%)",4085.94,https://www.polymarket.com/0xd043d8bdca05c5f9ecdf75df3c6681ac74ca7e85
0x5b19165f3ac3993fb1a9ed3e5b74cd3375989197,anon,"$14,158.48 (212.91%)",4065.8841,https://www.polymarket.com/0x5b19165f3ac3993fb1a9ed3e5b74cd3375989197
0x55bd222f875ccacc59ee822e77060c6e552645e9,Madrileno99,"$9,238.55 (230.96%)",4000,https://www.polymarket.com/0x55bd222f875ccacc59ee822e77060c6e552645e9
0xa010e49a3cb443ed7c7272af6d78088e7ca5a439,SandraD888,"$4,333.52 (108.39%)",3997.98,https://www.polymarket.com/0xa010e49a3cb443ed7c7272af6d78088e7ca5a439
0xab54f4b400bd8015e206a74f8d89362cf8eee856,TouchOfGrass,"$27,995.61 (210.68%)",2531.04,https://www.polymarket.com/0xab54f4b400bd8015e206a74f8d89362cf8eee856
0x72630d496a5c3c86665d029a4e05875c0ea9a031,Domariocarios,"$27,377.28 (379.22%)",6034.3353,https://www.polymarket.com/0x72630d496a5c3c86665d029a4e05875c0ea9a031
0x62730fede68ebedfb510e6f38da2aa2eca081741,skittums,"$27,217.27 (322.57%)",2652.48,https://www.polymarket.com/0x62730fede68ebedfb510e6f38da2aa2eca081741
0x11e50ec01d48adc0be2292cb8e2a5fee0369ee4d,BlueOrchid,"$229,531.62 (577.99%)",3801.8508,https://www.polymarket.com/0x11e50ec01d48adc0be2292cb8e2a5fee0369ee4d
0xd721ee218a84e35c2d4437bf509b2195afd1e215,DenzelMorgan,"$16,203.28 (426.77%)",3796.7365,https://www.polymarket.com/0xd721ee218a84e35c2d4437bf509b2195afd1e215
0x45f2736ab887ab27f9d33b2855b22eccfe58ac3c,CasualFox99,"$94,978.26 (1,566.54%)",3728.823529,https://www.polymarket.com/0x45f2736ab887ab27f9d33b2855b22eccfe58ac3c
0xfffee3116390fc9415956617ed048d26c7c1b424,sheepofwallst,"$27,064.27 (176.05%)",2516.8,https://www.polymarket.com/0xfffee3116390fc9415956617ed048d26c7c1b424
0x94192230a41c3d875e6e2c3ce789923f5a304430,KingsGambit,"$25,666.70 (733.34%)",3499.999999,https://www.polymarket.com/0x94192230a41c3d875e6e2c3ce789923f5a304430
0x9abe8d560ae24997d31cc9e8025a0c89161c70b7,the67892,"$20,898.00 (614.29%)",3402,https://www.polymarket.com/0x9abe8d560ae24997d31cc9e8025a0c89161c70b7
0xca4195e88f38da25f69dbdc8d56d25777aaa0616,FirstAfterGod,"$5,808.52 (67.85%)",3382.689999,https://www.polymarket.com/0xca4195e88f38da25f69dbdc8d56d25777aaa0616
0x7881bd1324486af7b3c43eefe11318f768cef022,legday333,"$22,752.14 (254.47%)",7951.006,https://www.polymarket.com/0x7881bd1324486af7b3c43eefe11318f768cef022
0x2e5c25d8dfbc5de5eba626f28ad5ed7088a36e0d,anon,"$19,010.98 (292.98%)",3232.014,https://www.polymarket.com/0x2e5c25d8dfbc5de5eba626f28ad5ed7088a36e0d
0x0ad7f1a66e6b6df6f5ea21852e0ff5d3ad878ad2,anon,"$3,714.84 (116.09%)",3200,https://www.polymarket.com/0x0ad7f1a66e6b6df6f5ea21852e0ff5d3ad878ad2
0x128744a38772e44b8c08bea93e188182f65fe491,marketboy,"$22,110.29 (158.23%)",6977.33,https://www.polymarket.com/0x128744a38772e44b8c08bea93e188182f65fe491
0xe4e1095da07f9924cf007a99bc0103f4027ff038,anon,"$20,697.48 (501.27%)",3000,https://www.polymarket.com/0xe4e1095da07f9924cf007a99bc0103f4027ff038
0x514550b8f94f24e3bd5fca1c8af19e985fb71f46,anon,"$280,507.41 (492.62%)",29696.8016,https://www.polymarket.com/0x514550b8f94f24e3bd5fca1c8af19e985fb71f46
0x60c512101ce36016276bc188243f9ce8300b2082,MrMopell,"$19,190.40 (653.85%)",2934.999999,https://www.polymarket.com/0x60c512101ce36016276bc188243f9ce8300b2082
